Course,Status,Instructor,Section Details
"BT 404-A - Marketing, Society, and Sustainability","Marketing, Society, and Sustainability",Open,
BT 416-A - Business Process Management,Business Process Management,Closed,
BT 416-LA - Business Process Management,Business Process Management,Closed,
BT 417-A - Marketing Analytics & Research,Marketing Analytics & Research,Open,
BT 417-B - Market Analytics & Research,Market Analytics & Research,Open,
BT 421-A - Systems Analysis and Design,Systems Analysis and Design,Open,
BT 421-B - Systems Analysis and Design,Systems Analysis and Design,Open,
BT 425-A - Portfolio Management,Portfolio Management,Open,
BT 426-A - Equity Valuation,Equity Valuation,Open,
BT 435-A - Social Media and Network Analysis,Social Media and Network Analysis,Waitlist,
BT 435-B - Social Media and Network Analysis,Social Media and Network Analysis,Waitlist,
"BT 440-A - Money,Banking & Financial Inst","Money,Banking & Financial Inst",Waitlist,
"BT 440-B - Money,Banking & Financial Inst","Money,Banking & Financial Inst",Open,
"BT 440-C - Money, Banking & Financial Inst","Money, Banking & Financial Inst",Open,
BT 454-A - International Economics & Finance,International Economics & Finance,Open,
BT 466-A - Data Analytics,Data Analytics,Open,
CE 240-A - Introduction to Geosciences,Introduction to Geosciences,Closed,
CE 240-RA - Introduction to Geosciences,Introduction to Geosciences,Closed,
CE 261-A - Mechanics of Materials,Mechanics of Materials,Open,
CE 322-A - Engineering Design VI,Engineering Design VI,Open,
CE 342-A - Fluid Mechanics,Fluid Mechanics,Closed,
CE 342-B - Fluid Mechanics,Fluid Mechanics,Open,
CE 342-LA - Fluid Mechanics,Fluid Mechanics,Open,
CE 342-LB - Fluid Mechanics,Fluid Mechanics,Open,
CE 342-LC - Fluid Mechanics,Fluid Mechanics,Closed,
CE 342-RA - Fluid Mechanics,Fluid Mechanics,Open,
CE 342-RB - Fluid Mechanics,Fluid Mechanics,Open,
CE 373-A - Structural Analysis,Structural Analysis,Open,
CE 381-A - Civil Engineer Measurements Lab,Civil Engineer Measurements Lab,Open,
CE 381-LA - Civil Engineer Measurements Lab,Civil Engineer Measurements Lab,Open,
CE 381-LB - Civil Engineer Measurements Lab,Civil Engineer Measurements Lab,Closed,
CE 423-A - Engineering Design VII,Engineering Design VII,Open,
CE 484-A - Reinforced Concrete Design,Reinforced Concrete Design,Open,
CE 486-A - Structural Steel Design,Structural Steel Design,Open,
CE 508-A - Transportation Engineering,Transportation Engineering,Open,
CE 518-A - Advanced Mechanics of Materials,Advanced Mechanics of Materials,Open,
CE 518-A-U - Advanced Mechanics of Materials,Advanced Mechanics of Materials,Open,
CE 519-A - Advanced Structural Analysis,Advanced Structural Analysis,Open,
CE 519-A-U - Advanced Structural Analysis,Advanced Structural Analysis,Open,
CE 525-A - Engineering Hydrology,Engineering Hydrology,Open,
CE 541-WS - Proj Mgmt for Construction,Proj Mgmt for Construction,Open,
CE 546-A - Machine Learning and Analytics in Civil Engineering Applications,Machine Learning and Analytics in Civil Engineering Applications,Open,
CE 561-A - Fundamentals of Remote Sensing,Fundamentals of Remote Sensing,Open,
CE 565-A - Num Methods for Civil & Env Engr,Num Methods for Civil & Env Engr,Open,
CE 578-A - Coastal and Flood Plain Engineering,Coastal and Flood Plain Engineering,Open,
CE 649-A - Earth Supporting Structures,Earth Supporting Structures,Open,
CE 660-A - Adv. Steel Structures,Adv. Steel Structures,Open,
CE 702-A - Practicum in CE,Practicum in CE,Open,
CE 930-A - Civil Engineering Qualifying Exam - Written,Civil Engineering Qualifying Exam - Written,Open,
CE 931-A - Civil Engineering Qualifying Exam - Oral,Civil Engineering Qualifying Exam - Oral,Open,
CE 940-A - Civil Engineering Proposal Defense,Civil Engineering Proposal Defense,Open,
CE 960-A - Research in CE (PHD),Research in CE (PHD),Open,
